name,Base Note,Colour Name,Country of Origin,Department,Dispenser Type,Grade,Heart/Middle Note,Model Name,link,Fragrance Category,Scents/Notes,Size,Top Note,Fragrance Family,Long Lasting,Model Number,Notes,Scents,Set Includes,Skin Type,Product Line,Aromatherapy Type,Fragrance Notes,Fragrance Type,Ingredients,Fragnance Family,Fragrance Note,Formulation,Occasion,Perfumer,Composition,Height,Width,Depth,Includes,Scent Type,,Volume,Top notes,Middle / Heart Notes,Base notes,Perfume Scent,Anti-perspirant,Non-toxic,Olfactive Family,Fragrance Note Family,Fragrance Segment,Irritation Free,Packaging Type,Paraben Free,Scent,Long-lasting,Introduced Year,Product Dimensions,Shipping Weight,scents_notes,Package Type,Application Area,Anti-Perspirant,Launched,What's In The Box,Dimensions,Weight,Material,Product Height,Product Width/Depth,Scent Notes,Package weight in KGs,Package height,Package Width,Long-Lasting,Key Notes,Scent Family,Dimension,Note,Form,Lanched,Scent Note,Longlasting,Package thickness,Notes Contains,Recommended Usage,Skin type,Country Of Origin,Cruelty Free,Paraben/Sulphate Free,Suitable for the season,Package weight,Cruelty-free,Product Dimension,Colour Family,Container Type,Fragrance Classification,Notes Available,Tope Note,Middle Note,Scent/Notes,Sulfate Free,Suitable For,Scent Life,Fragrance
Amazing Creation Sartorial Eau De Parfum 100ml ,"leather,Cedar",,United Arab Emirates (UAE),Unisex,,New,"Ginger,Honey,Neroli",Sartorial,/uae-en/sartorial-eau-de-parfum-100ml/N43338240A/p?o=f62756c35d8e5d6b,,Aromatic,,,,,6253481591596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amazing Creation Gold Intense Eau De Parfum 100ml ,Amber,,United Arab Emirates (UAE),Unisex,,New,"heliotrope,Labdanum",Gold Intense,/uae-en/gold-intense-eau-de-parfum-100ml/N43338242A/p?o=a6c7ece9295f992b,,Floral,,,,,6253481591510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amazing Creation Musk Absolute Eau De Parfum 100ml ,White Musk,,United Arab Emirates (UAE),Unisex,,New,"Amber,Agarwood",Musk Absolute,/uae-en/musk-absolute-eau-de-parfum-100ml/N43338245A/p?o=ddd4656a5da3f4de,,Woody,,,,,6253481591541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amazing Creation Eyes Of The Tiger Eau De Parfum 100ml ,Labdanum,,United Arab Emirates (UAE),Unisex,,New,Vanilla,Eyes Of The Tiger,/uae-en/eyes-of-the-tiger-eau-de-parfum-100ml/N43338248A/p?o=c90207cb9fb8067f,,Oriental,,,,,6253481591602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amazing Creation Meydan Rocks Eau De Parfum 100ml ,"Grapefruit,Cinnamon",,United Arab Emirates (UAE),Unisex,,New,"Bergamot,Cypress",Meydan Rocks,/uae-en/meydan-rocks-eau-de-parfum-100ml/N43338253A/p?o=f0542e3e6502769a,,Floral,,,,,6253481591480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DHAMMA Aro-Fac Leather-84 Eau de Parfum 100 ml ,Bean,,United Arab Emirates (UAE),Unisex,,,"Leather, Mate And Tonka",AMD108,/uae-en/aro-fac-leather-84-eau-de-parfum-100-ml/N32123013A/p?o=d0763f30382cf4ad,,,100 ml,"Juniper Berries,Amber",,,AMD108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tiziana Terenzi Draco Extrait De Parfum 100ml ,"Heliotrope, Musk, Pear, Tonka Beans, Vanilla",,,Unisex,,,"Cedar, Jasmine, Magnolia, Patchouli, Peach",,/uae-en/draco-extrait-de-parfum-100ml/N11756516A/p?o=e1c475c74824920d,,Fruity,100 ml,"Bergamot, Green Notes, Lemon, Orange",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L'Occitane Herbae Eau de Parfum 90ml ,,,,Women,,New,,11EP090H19,/uae-en/herbae-eau-de-parfum-90ml/N43853252A/p?o=b37a3c5eb2b5066b,,,90 ml,,,,11EP090H19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rasasi Feelings Eau de Parfum 60ml ,"Vanilla, Amber, Sandalwood, Musk",,,Women,Pump,New,Lavender And Jasmine,,/uae-en/feelings-eau-de-parfum-60ml/N11200958A/p?o=d314aca3ae17a9fd,,Floral,,,,,61750,,"Lavender, Jasmine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PALME D'OR Senorita Parfum 100ml ,Jasmine,,France,Unisex,,,Patchouli,3880008477007,/uae-en/senorita-parfum-100ml/N32957932A/p?o=cd49d9c2e39b133b,,,100 ml,Rose Jouri,,,3880008477007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DHAMMA Aro-Fac Eccento-1390 Eau de Parfum 100 ml ,"Vetiver,Musk Patchouli,Amber Vannile",,United Arab Emirates (UAE),Unisex,,,"Iris,Jasmine Pink Pepper,",AMD107,/uae-en/aro-fac-eccento-1390-eau-de-parfum-100-ml/N32123022A/p?o=d4822fea1472769d,,,100 ml,Hyacinth And Pinapple,,,AMD107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Al Zaabiah Baby Love Parfum 50ml ,,,,Kids Unisex,,,,Baby Love,/uae-en/baby-love-parfum-50ml/N39452641A/p?o=e8cd58bb2a6da79a,,Sweet,50 ml,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Music de Parfum Mi EDP 100ml ,,,,Unisex,,,,,/uae-en/mi-edp-100ml/N11075701A/p?o=a33a5dce8fd0153a,,,100 ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DHAMMA Aro-Fac Loban-46 Eau de Parfum 100 ml ,"Agarwood,Smoke,Patchouli, Sandal Wood",,United Arab Emirates (UAE),Unisex,,,"Amber,Frakinsense,Opoponex",AMD109,/uae-en/aro-fac-loban-46-eau-de-parfum-100-ml/N32123041A/p?o=fee997852bb2129a,,,100 ml,"Zesty Bergamot,Oregano,Pimento Berry Oil",,,AMD109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bottega Profumiera 2-Piece Shardana Eau De Parfum Set Multi-sizeml ,,,,Unisex,,,,SHARDANA SET OF 2,/uae-en/2-piece-shardana-eau-de-parfum-set-multi-sizeml/N26380428A/p?o=f267dd835c171f4b,,,Multi-size ml,,,,1100000020844,,,100 ml + 30 ml EDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bottega Profumiera 2-Piece Rose Poudre Eau De Parfum Set Multi-sizeml ,,,,Unisex,,,,ROSE POUDRE SET OF 2,/uae-en/2-piece-rose-poudre-eau-de-parfum-set-multi-sizeml/N26380427A/p?o=c8c0ff0fd5e5629d,,,Multi-size ml,,,,1100000020851,,,100 ml + 30 ml EDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Al Zaabiah Baby Love Parfum 50ml ,,,,Kids Unisex,,,,Baby Love,/uae-en/baby-love-parfum-50ml/N39452642A/p?o=fb0ddd23d4cd1f8c,,Fruity,50 ml,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tiziana Terenzi Afrodite Extrait De Parfum Spray 100ml ,"Grey Amber, White Musk, Patchouli, Sandalwood, Ebony, Pheromone",,,Unisex,,,"Neroli, Tuberose Absolute, Iris, Geranium, Lily Of The Valley, Pheromone",,/uae-en/afrodite-extrait-de-parfum-spray-100ml/N36647494A/p?o=b996ff3693d325ea,,Spicy,100 ml,"Pink Pepper, Lilac, Vanilla Berries, White Peach, White Currant",,Yes,CS188436839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTOIRES de PARFUMS 1804 EDP 120ml ,"Sandalwood, Patchouli, Benzoin, Vanilla and White Musk",,,Women,,,"Clove, Nutmeg, Indian Jasmine, Lily of the Valley and Rose of Morocco",,/uae-en/1804-edp-120ml/N11203064A/p?o=f45b87f7a0dec79c,,,120 ml,"Tahitian Gardenia, Corsica Peach and Hawaiian Pineapple",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AquArabia The Dize Collection V Parfum 100ml ,"Amber, Musk, Cedarwood,patchouli",,,Unisex,,New,"Geranium Muguet, Cardamom,pepper",,/uae-en/the-dize-collection-v-parfum-100ml/N39350614A/p?o=dedf0e348664d6cd,,Fresh,100 ml,"Bergamot, Lemon, Marine",,,88291959sa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neal's Yard Remedies Pure Essence Eau De Parfum 50ml ,"Patchouli, Vetiver, Myrrh, Balsam Copaiba",,,Unisex,,,"Lavender, Spanish Marjoram",,/uae-en/pure-essence-eau-de-parfum-50ml/N37768611A/p?o=f0d7b242afa8e7ad,,Fresh,50 ml,"Lime, Neroli, Bergamot, Pink Pepper",,,203349659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DHAMMA Parfum D'Encens EDP 100ml ,,,,Unisex,Atomizer,,,,/uae-en/parfum-d-encens-edp-100ml/N14519713A/p?o=dd3600c72a65259a,,,100 ml,,,,CKIN11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parfums Gres Lumiere EDP 100ml ,Musk And Amber,,,Women,Splash,,Rose And Patchouli,,/uae-en/lumiere-edp-100ml/N13790157A/p?o=c10b53c14e2bb7ff,,,100 ml,Bergamot,,Yes,,,,,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELIXIRS &amp; Co Vivacites De Bach Eau De Parfum 55ml ,"Larch, Mustard",,,Unisex,,,"White Chestnut, Olive",,/uae-en/vivacites-de-bach-eau-de-parfum-55ml/N37768598A/p?o=e917bd62b268a16f,,Fresh,55 ml,"Gorse, Centaury",,,213446549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parfums De Marly Safand EDP 75ml ,"Amber, Sandalwood and Vanilla",,,Women,,,"Orange Blossom, Orris and Ylang-Ylang",Parfums De Marly,/uae-en/safand-edp-75ml/N11201757A/p?o=bf2f20c9761e239a,,Floral,75 ml,Orange and Pear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amazing Creation Cairo Perfume Eau De Parfum 100ml ,"Labdanum,Patchouli",,United Arab Emirates (UAE),Unisex,,New,"Ceder,Cypriol Oil",Cairo,/uae-en/cairo-perfume-eau-de-parfum-100ml/N43338236A/p?o=c2475be0a3ba984b,,Floral,,,,,6253481591589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parfums De Marly Layton Exclusif EDP 75ml ,Laotian Oud,,,Men,Atomizer,,Geranium,,/uae-en/layton-exclusif-edp-75ml/N19578632A/p?o=b49a265dfad91a9e,,,75 ml,Bergamot,,,14400-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Al Zaabiah Mukhallat Asayel Parfum 10g ,Animalic Floral,,,Unisex,,New,Animalic Floral,MukhallatAsayel10GM,/uae-en/mukhallat-asayel-parfum-10g/N40449564A/p?o=c4cc2ed92334279f,,Arabian,10 g,,,,MukhallatAsayel10GM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Al Zaabiah Mukhallat Lamia Parfum 10g ,"Ambergis,Woody",,,Unisex,,New,"Musk ,Woody",MukhallatLamia10GM,/uae-en/mukhallat-lamia-parfum-10g/N40449562A/p?o=edfee80ed93a3f8a,,Arabian,10 g,,,,MukhallatLamia10GM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Al Zaabiah Beibei Bear Parfum 50ml 50ml ,,,,Kids Unisex,,,,Beibei Beay,/uae-en/beibei-bear-parfum-50ml-50ml/N39452637A/p?o=b9f1b93acc281c6e,,Musk,50 ml,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Al Zaabiah Rascal Rabbit Blue Parfum 50ml ,,,,Kids Unisex,,,,Rascal Rabbit,/uae-en/rascal-rabbit-blue-parfum-50ml/N39452638A/p?o=e491569192a4a90d,,Fruity,50 ml,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dolce &amp; Gabbana The One EDP 100ml ,"Amber, Cedar",,,Men,Atomizer,New,"Ginger, Cardamom, Orange Blossom",,/uae-en/the-one-edp-100ml/N11202742A/p?o=ee943419fd74b0ca,,,100 ml,"Grapefruit, Coriander, Basil",,,3021365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roberto Cavalli Florence EDP 75ml ,"Patchouli, Amber, Musk",,,Women,Atomizer,New,"Orange Blossom, Hibiscus Seed, Grapefruit Blossom",,/uae-en/florence-edp-75ml/N13134087A/p?o=b756f5c8e363837a,,Floral,75 ml,,,,3614223519613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MONTBLANC Explorer EDP 100ml ,"Akigalawood, Ambroxan, Patchouli Leaves",,,Men,Atomizer,New,"Haitian Vetiver, Leather",,/uae-en/explorer-edp-100ml/N22797920A/p?o=b696ba0b2fe4b75d,,,100 ml,"Bergamot, Clary Sage, Pink Pepper",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roberto Cavalli Paradiso EDP 50ml ,"Pine Tree, Cypress, Laurels",,,Women,Atomizer,New,Jasmine,,/uae-en/paradiso-edp-50ml/N11201141A/p?o=a6e77e6d22dfd0bf,,Woody,50 ml,,,,16314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niya Hawaiian Musk EDP 100ml ,"Musk, Oakmoss, Vanilla",Hawaiian Musk,United Arab Emirates (UAE),Men,Atomizer,,"Moroccan Jasmine, Patchouli, Birch, Rose",,/uae-en/hawaiian-musk-edp-100ml/N22879414A/p?o=e574063a5de5c69b,,Woody,,,,,,,,,,Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mancera Red Tobacco EDP 120ml ,"Tobacco, Madagascar Vanilla, Amber, Sandalwood, Guaiac Wood, White Musk, Haitian Vetiver",,France,Men,Atomizer,New,"Patchouli, Jasmine",,/uae-en/red-tobacco-edp-120ml/N14552624A/p?o=d90e4acfba83bfaa,,Woody,120 ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calvin Klein Beauty EDP 100ml ,Virginia Cedar,,,Women,Atomizer,New,Jasmine,,/uae-en/beauty-edp-100ml/N11200560A/p?o=b1f34455cb9ff61f,,Floral,100 ml,,,,201660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roberto Cavalli Nero Assoluto EDP 75ml ,"Ebony, Woody Notes",,,Women,Splash,New,Vanilla,,/uae-en/nero-assoluto-edp-75ml/N11200983A/p?o=ba6c62e96638dcfa,,Oriental,75 ml,,,,10014396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calvin Klein Euphoria EDP 100ml ,"Liquid Amber, Black Violet, Cream, Mahogany Wood",,,Women,Splash,New,"Sensual Champaca Flower, Rich Black Orchid",,/uae-en/euphoria-edp-100ml/N11200553A/p?o=d4a4b79cb0f2f8db,,,100 ml,"Pomegranate, Succulent Persimmon",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BURBERRY Burberry Body EDP 85ml ,"Sandalwood, Cashmerean, Musk, Amber, Vanilla",,,Women,Splash,New,"Rose, Iris",,/uae-en/burberry-body-edp-85ml/N14777919A/p?o=feff5d009b9804bd,,Fruity,85 ml,"Freesia, Green Absinthe, Peach",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roberto Cavalli Paradiso Azzurro EDP 75ml ,"Cypress, Cashmere Wood, Sandalwood, Amberwood, Vanilla",,,Women,,New,"Watery Notes, Wild Jasmine, Apple, Tuberose, Peach, Rose",,/uae-en/paradiso-azzurro-edp-75ml/N11202241A/p?o=9b48e3c7f900bfac,,Floral,75 ml,"Lavender, Bergamot, Tangerine",,,RGR30375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VERSACE Dylan Blue EDP 100ml ,"Musk, White Woods, Styrax, Patchouli",,,Women,Splash,New,"Peach, Rose Hip, Petalia, Rose, Jasmine",,/uae-en/dylan-blue-edp-100ml/N19300518A/p?o=e075bc91b29407be,,Floral,100 ml,"Granny Smith Apple, Black Currant, Clover, Forget Me Not, Shiso",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexandre J Morning Muscs EDP 100ml ,"Musk, Moss",,France,Unisex,Atomizer,,"Russian Rose, Turkish Rose, Patchouli, Violet",,/uae-en/morning-muscs-edp-100ml/N11074471A/p?o=dbc13d2f522cac5f,,Woody,100 ml,"Mandarin, Grapefruit, Pear, Toffee",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yves Saint Laurent Libre EDP 90ml ,"Amber, Vanilla, Ambergris, Musk",,,Women,,New,"Orange Blossom, Jasmine, Lavender",,/uae-en/libre-edp-90ml/N31126632A/p?o=d8e2d4158d40967d,,Floral,90 ml,"Mandarin, Neroli",,,10382A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niya Prive Leather Oud 100ml ,"Vetyver, Leather, Oakmoss",Leather Oud,United Arab Emirates (UAE),Men,,,"Orris, Suede, Praline",Niya Prive Fragrance 3,/uae-en/prive-leather-oud-100ml/N26667255A/p?o=b694a9e684d0118c,,Spicy,,,,,,,,,,Prive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cacharel Eden EDP 50ml ,"Sandalwood, Tonka Bean, Patchouli, Black Locust, Cedar",,,Women,Atomizer,,"Mimosa, Pineapple, Tuberose, Melon, Jasmine, Water Lily, Lily-Of-The-Valley, Lotus, Rose",,/uae-en/eden-edp-50ml/N11203127A/p?o=e37f0d9bfe7c7dec,"Oriental,Floral,Aquatic",Floral,50 ml,"Mandarin Orange, Peach, Bergamot, Lemon",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Givenchy L'Interdit EDP 50ml ,"Patchouli, Vanilla, Ambroxan, Vetiver",,,Women,Pump,New,"Tuberose, Orange Blossom, Jasmine Sambac",L'Interdit,/uae-en/l-interdit-edp-50ml/N19144666A/p?o=bda10a85d286647d,,Floral,,,,,3274872372146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rasasi Crocodile Pour Elle EDP 50ml ,"Musk, Oak Moss, Ambergris & Vanilla",,,Women,Atomizer,,"Rose, Dry Birch, Moroccan Jasmine & Patchouli",,/uae-en/crocodile-pour-elle-edp-50ml/N23101971A/p?o=c701388626b381ce,,Woody,50 ml,"Black Currant, Italian bergamot, French Apples & Pine",,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Givenchy Organza EDP 100ml ,"Vanilla, Amber, Woodsy Notes, Guaiac Wood, Virginia Cedar",Gold,France,Women,Pump,New,"Tuberose, Walnut, Jasmine, Honeysuckle, Iris, Peony",Organza,/uae-en/organza-edp-100ml/N11200750A/p?o=ce2600fb6e46765b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LACOSTE Lacoste EDP 90ml ,"Himalayan Cedar, Sandal And Incense",,,Women,Atomizer,,"Heliotrope And Jasmine, Hibiscus Blossom And Bulgarian Rose",,/uae-en/lacoste-edp-90ml/N11200872A/p?o=956c84c4f3037f40,"Floral, Woody",Floral,90 ml,Allspice And Purple Freesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lattafa Velvet Oud EDP 100ml ,,,United Arab Emirates (UAE),Unisex,Pump,New,,Velvet Oud,/uae-en/velvet-oud-edp-100ml/N23282655A/p?o=a5b12d2c5a7e991e,,Woody,100 ml,,,,LATPFU004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yves Saint Laurent Black Opium EDP 90ml ,"Vanilla, Patchouli, Cedarwood",,France,Women,Atomizer,New,"Jasmine, Coffee",,/uae-en/black-opium-edp-90ml/N11201412A/p?o=cae82776589d9ecd,,Vanilla,90 ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jennifer lopez Still EDP 100ml ,"Amber, Orris, Sandalwood",,,Women,,,"Honeysuckle, Orange Tree Blossom, Pink Freesia",,/uae-en/still-edp-100ml/N11200848A/p?o=e37b33b49c885e9c,Floral,Floral,100 ml,"Earl Grey Tea, Sake, Tangerine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRADA Candy EDP 80ml ,"Benzoin, Vanilla",Yellow/Pink/Gold,Spain,Women,Pump,New,"Musk, Powdery Notes",Candy,/uae-en/candy-edp-80ml/N11200948A/p?o=ad85874419f3374a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rasasi Daarej Pour Homme EDP 100ml ,"Musk, Vanilla",,,Men,,,"Patchouli, Amber",614514178010,/uae-en/daarej-pour-homme-edp-100ml/N29986133A/p?o=a25ae7cec2d91cbe,,,100 ml,Sandalwood,,,614514178010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NASAMAT Oud Bouquet EDP 100ml ,,,,Unisex,Splash,,,,/uae-en/oud-bouquet-edp-100ml/N11075724A/p?o=d7320bda776dc7bd,,,100 ml,,,,,,,,,,Body,"Orange,Lemon,Bergamot,Fruity Notes,Amber,White Musk,Madagascar Vanilla",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niya Prive Maison Sandalwood EDP 100ml ,"Sandalwood, Vanilla, Musk",Maison Sandalwood,United Arab Emirates (UAE),Men,,,"Muguet, Violet, Tuberose",Niya Prive Fragrance 2,/uae-en/prive-maison-sandalwood-edp-100ml/N26667254A/p?o=a517adba8f2700da,,Woody,,,,,,,,,,Prive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
